"","Group.1","Visibility","Traits.ID","Genus","Morphospecies","Contributor","Latitude","Longitude","Caste","N","Head.width.across.eyes..mm.","Head.length..mm.","Clypeus.length..mm.","Mandible.length..mm.","Hind.femur.length..mm.","Scape.length..mm.","Weber.s.length..mm.","Pronotum.width..mm.","Inter.ocular.width..mm.","Max.eye.width..mm.","Whole.body.length..mm.","Sculpturing","Pilosity....","Number.of.Spines....","Dominant.colour.head..Fig..16.","Dominant.colour.mesosoma..Fig..16.","Dominant.colour.gaster..Fig..16.","Polymorphism","Queen.number","Worker.number....","Colony.type","Colony.founding","Nest.Site","Activity","Diet","Notes","Species","Invasive.To.Political.Region1","Political.Region1","Continent","username","Date.Of.Upload","Batch","Batch.Name"
"Gnamptogenys.2","Gnamptogenys","Public","Baccaro_noyear_traits_1","Gnamptogenys","False","Donoso, David",9.23956707388889,60.9510536672222,"Worker",1.36842105263158,0.851878787878788,0.89173125,0.26,0.550928571428571,0.874053571428571,0.672904761904762,1.36971754386842,0.578333333333333,0.706666666666667,0.137053571428571,3.35,2.75,21.5714285714286,0,14,14,14,"Monomorphic (1)","Monogyny (1)",NA,"Monodomous (1)",NA,"Litter (6)","Diurnal (1)","Generalist (2)","traits are not analyzed in the paper, head width is meassured ABOVE the eyes","quadrutinodules","Native*","China","Asia","bgrossman","2017-02-23",145.894736842105,"Traits_4_February_2017"
"Gnamptogenys.3","Gnamptogenys","Public","Baccaro_noyear_traits_1","Gnamptogenys","False","Donoso, David",9.23956707388889,60.9510536672222,"Worker",1.36842105263158,0.851878787878788,0.89173125,0.26,0.550928571428571,0.874053571428571,0.672904761904762,1.36971754386842,0.578333333333333,0.706666666666667,0.137053571428571,3.35,2.75,21.5714285714286,0,14,14,14,"Monomorphic (1)","Monogyny (1)",NA,"Monodomous (1)",NA,"Litter (6)","Diurnal (1)","Generalist (2)","traits are not analyzed in the paper, head width is meassured ABOVE the eyes","quadrutinodules","Native*","China","Asia","bgrossman","2017-02-23",145.894736842105,"Traits_4_February_2017"
"Gnamptogenys.4","Gnamptogenys","Public","Baccaro_noyear_traits_1","Gnamptogenys","False","Donoso, David",9.23956707388889,60.9510536672222,"Worker",1.36842105263158,0.851878787878788,0.89173125,0.26,0.550928571428571,0.874053571428571,0.672904761904762,1.36971754386842,0.578333333333333,0.706666666666667,0.137053571428571,3.35,2.75,21.5714285714286,0,14,14,14,"Monomorphic (1)","Monogyny (1)",NA,"Monodomous (1)",NA,"Litter (6)","Diurnal (1)","Generalist (2)","traits are not analyzed in the paper, head width is meassured ABOVE the eyes","quadrutinodules","Native*","China","Asia","bgrossman","2017-02-23",145.894736842105,"Traits_4_February_2017"
"Gnamptogenys.5","Gnamptogenys","Public","Baccaro_noyear_traits_1","Gnamptogenys","False","Donoso, David",9.23956707388889,60.9510536672222,"Worker",1.36842105263158,0.851878787878788,0.89173125,0.26,0.550928571428571,0.874053571428571,0.672904761904762,1.36971754386842,0.578333333333333,0.706666666666667,0.137053571428571,3.35,2.75,21.5714285714286,0,14,14,14,"Monomorphic (1)","Monogyny (1)",NA,"Monodomous (1)",NA,"Litter (6)","Diurnal (1)","Generalist (2)","traits are not analyzed in the paper, head width is meassured ABOVE the eyes","quadrutinodules","Native*","China","Asia","bgrossman","2017-02-23",145.894736842105,"Traits_4_February_2017"
"Gnamptogenys.6","Gnamptogenys","Public","Baccaro_noyear_traits_1","Gnamptogenys","False","Donoso, David",9.23956707388889,60.9510536672222,"Worker",1.36842105263158,0.851878787878788,0.89173125,0.26,0.550928571428571,0.874053571428571,0.672904761904762,1.36971754386842,0.578333333333333,0.706666666666667,0.137053571428571,3.35,2.75,21.5714285714286,0,14,14,14,"Monomorphic (1)","Monogyny (1)",NA,"Monodomous (1)",NA,"Litter (6)","Diurnal (1)","Generalist (2)","traits are not analyzed in the paper, head width is meassured ABOVE the eyes","quadrutinodules","Native*","China","Asia","bgrossman","2017-02-23",145.894736842105,"Traits_4_February_2017"
"Gnamptogenys.7","Gnamptogenys","Public","Baccaro_noyear_traits_1","Gnamptogenys","False","Donoso, David",9.23956707388889,60.9510536672222,"Worker",1.36842105263158,0.851878787878788,0.89173125,0.26,0.550928571428571,0.874053571428571,0.672904761904762,1.36971754386842,0.578333333333333,0.706666666666667,0.137053571428571,3.35,2.75,21.5714285714286,0,14,14,14,"Monomorphic (1)","Monogyny (1)",NA,"Monodomous (1)",NA,"Litter (6)","Diurnal (1)","Generalist (2)","traits are not analyzed in the paper, head width is meassured ABOVE the eyes","quadrutinodules","Native*","China","Asia","bgrossman","2017-02-23",145.894736842105,"Traits_4_February_2017"
"Gnamptogenys.8","Gnamptogenys","Public","Baccaro_noyear_traits_1","Gnamptogenys","False","Donoso, David",9.23956707388889,60.9510536672222,"Worker",1.36842105263158,0.851878787878788,0.89173125,0.26,0.550928571428571,0.874053571428571,0.672904761904762,1.36971754386842,0.578333333333333,0.706666666666667,0.137053571428571,3.35,2.75,21.5714285714286,0,14,14,14,"Monomorphic (1)","Monogyny (1)",NA,"Monodomous (1)",NA,"Litter (6)","Diurnal (1)","Generalist (2)","traits are not analyzed in the paper, head width is meassured ABOVE the eyes","quadrutinodules","Native*","China","Asia","bgrossman","2017-02-23",145.894736842105,"Traits_4_February_2017"
"Gnamptogenys.9","Gnamptogenys","Public","Baccaro_noyear_traits_1","Gnamptogenys","False","Donoso, David",9.23956707388889,60.9510536672222,"Worker",1.36842105263158,0.851878787878788,0.89173125,0.26,0.550928571428571,0.874053571428571,0.672904761904762,1.36971754386842,0.578333333333333,0.706666666666667,0.137053571428571,3.35,2.75,21.5714285714286,0,14,14,14,"Monomorphic (1)","Monogyny (1)",NA,"Monodomous (1)",NA,"Litter (6)","Diurnal (1)","Generalist (2)","traits are not analyzed in the paper, head width is meassured ABOVE the eyes","quadrutinodules","Native*","China","Asia","bgrossman","2017-02-23",145.894736842105,"Traits_4_February_2017"
"Gnamptogenys.10","Gnamptogenys","Public","Baccaro_noyear_traits_1","Gnamptogenys","False","Donoso, David",9.23956707388889,60.9510536672222,"Worker",1.36842105263158,0.851878787878788,0.89173125,0.26,0.550928571428571,0.874053571428571,0.672904761904762,1.36971754386842,0.578333333333333,0.706666666666667,0.137053571428571,3.35,2.75,21.5714285714286,0,14,14,14,"Monomorphic (1)","Monogyny (1)",NA,"Monodomous (1)",NA,"Litter (6)","Diurnal (1)","Generalist (2)","traits are not analyzed in the paper, head width is meassured ABOVE the eyes","quadrutinodules","Native*","China","Asia","bgrossman","2017-02-23",145.894736842105,"Traits_4_February_2017"
"NA.6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hypoponera","Hypoponera","Public","Baccaro_noyear_traits_143","Hypoponera","True","Baccaro, Fabricio",-0.22667544037037,23.7029769633333,"Worker",1.31914893617021,0.594468085106383,0.682920454545455,0.131868421052632,0.406820512820513,0.586214285714286,0.546285714333333,0.975541587311111,0.417310776921053,0.564632832105263,0.0338461538461538,3.431,1,32.8461538461538,0.105263157894737,17.7692307692308,17.1538461538462,17.8461538461538,"Monomorphic (1)","Monogyny (1)",NA,"Monodomous (1)",NA,"Litter (6)","Diurnal (1)","Generalist (2)","These ants from samples collected in Klimes_etal_noyear but were analysed separately at a later date to be included in a different publication","1","Native*","Brazil","South America","bgrossman","2017-02-23",141.829787234043,"Traits_3_February_2017"
"Hypoponera.1","Hypoponera","Public","Baccaro_noyear_traits_143","Hypoponera","True","Baccaro, Fabricio",-0.22667544037037,23.7029769633333,"Worker",1.31914893617021,0.594468085106383,0.682920454545455,0.131868421052632,0.406820512820513,0.586214285714286,0.546285714333333,0.975541587311111,0.417310776921053,0.564632832105263,0.0338461538461538,3.431,1,32.8461538461538,0.105263157894737,17.7692307692308,17.1538461538462,17.8461538461538,"Monomorphic (1)","Monogyny (1)",NA,"Monodomous (1)",NA,"Litter (6)","Diurnal (1)","Generalist (2)","These ants from samples collected in Klimes_etal_noyear but were analysed separately at a later date to be included in a different publication","1","Native*","Brazil","South America","bgrossman","2017-02-23",141.829787234043,"Traits_3_February_2017"
"Hypoponera.2","Hypoponera","Public","Baccaro_noyear_traits_143","Hypoponera","True","Baccaro, Fabricio",-0.22667544037037,23.7029769633333,"Worker",1.31914893617021,0.594468085106383,0.682920454545455,0.131868421052632,0.406820512820513,0.586214285714286,0.546285714333333,0.975541587311111,0.417310776921053,0.564632832105263,0.0338461538461538,3.431,1,32.8461538461538,0.105263157894737,17.7692307692308,17.1538461538462,17.8461538461538,"Monomorphic (1)","Monogyny (1)",NA,"Monodomous (1)",NA,"Litter (6)","Diurnal (1)","Generalist (2)","These ants from samples collected in Klimes_etal_noyear but were analysed separately at a later date to be included in a different publication","1","Native*","Brazil","South America","bgrossman","2017-02-23",141.829787234043,"Traits_3_February_2017"
"Hypoponera.3","Hypoponera","Public","Baccaro_noyear_traits_143","Hypoponera","True","Baccaro, Fabricio",-0.22667544037037,23.7029769633333,"Worker",1.31914893617021,0.594468085106383,0.682920454545455,0.131868421052632,0.406820512820513,0.586214285714286,0.546285714333333,0.975541587311111,0.417310776921053,0.564632832105263,0.0338461538461538,3.431,1,32.8461538461538,0.105263157894737,17.7692307692308,17.1538461538462,17.8461538461538,"Monomorphic (1)","Monogyny (1)",NA,"Monodomous (1)",NA,"Litter (6)","Diurnal (1)","Generalist (2)","These ants from samples collected in Klimes_etal_noyear but were analysed separately at a later date to be included in a different publication","1","Native*","Brazil","South America","bgrossman","2017-02-23",141.829787234043,"Traits_3_February_2017"
"Hypoponera.4","Hypoponera","Public","Baccaro_noyear_traits_143","Hypoponera","True","Baccaro, Fabricio",-0.22667544037037,23.7029769633333,"Worker",1.31914893617021,0.594468085106383,0.682920454545455,0.131868421052632,0.406820512820513,0.586214285714286,0.546285714333333,0.975541587311111,0.417310776921053,0.564632832105263,0.0338461538461538,3.431,1,32.8461538461538,0.105263157894737,17.7692307692308,17.1538461538462,17.8461538461538,"Monomorphic (1)","Monogyny (1)",NA,"Monodomous (1)",NA,"Litter (6)","Diurnal (1)","Generalist (2)","These ants from samples collected in Klimes_etal_noyear but were analysed separately at a later date to be included in a different publication","1","Native*","Brazil","South America","bgrossman","2017-02-23",141.829787234043,"Traits_3_February_2017"
"Hypoponera.5","Hypoponera","Public","Baccaro_noyear_traits_143","Hypoponera","True","Baccaro, Fabricio",-0.22667544037037,23.7029769633333,"Worker",1.31914893617021,0.594468085106383,0.682920454545455,0.131868421052632,0.406820512820513,0.586214285714286,0.546285714333333,0.975541587311111,0.417310776921053,0.564632832105263,0.0338461538461538,3.431,1,32.8461538461538,0.105263157894737,17.7692307692308,17.1538461538462,17.8461538461538,"Monomorphic (1)","Monogyny (1)",NA,"Monodomous (1)",NA,"Litter (6)","Diurnal (1)","Generalist (2)","These ants from samples collected in Klimes_etal_noyear but were analysed separately at a later date to be included in a different publication","1","Native*","Brazil","South America","bgrossman","2017-02-23",141.829787234043,"Traits_3_February_2017"
"Hypoponera.6","Hypoponera","Public","Baccaro_noyear_traits_143","Hypoponera","True","Baccaro, Fabricio",-0.22667544037037,23.7029769633333,"Worker",1.31914893617021,0.594468085106383,0.682920454545455,0.131868421052632,0.406820512820513,0.586214285714286,0.546285714333333,0.975541587311111,0.417310776921053,0.564632832105263,0.0338461538461538,3.431,1,32.8461538461538,0.105263157894737,17.7692307692308,17.1538461538462,17.8461538461538,"Monomorphic (1)","Monogyny (1)",NA,"Monodomous (1)",NA,"Litter (6)","Diurnal (1)","Generalist (2)","These ants from samples collected in Klimes_etal_noyear but were analysed separately at a later date to be included in a different publication","1","Native*","Brazil","South America","bgrossman","2017-02-23",141.829787234043,"Traits_3_February_2017"
"Hypoponera.7","Hypoponera","Public","Baccaro_noyear_traits_143","Hypoponera","True","Baccaro, Fabricio",-0.22667544037037,23.7029769633333,"Worker",1.31914893617021,0.594468085106383,0.682920454545455,0.131868421052632,0.406820512820513,0.586214285714286,0.546285714333333,0.975541587311111,0.417310776921053,0.564632832105263,0.0338461538461538,3.431,1,32.8461538461538,0.105263157894737,17.7692307692308,17.1538461538462,17.8461538461538,"Monomorphic (1)","Monogyny (1)",NA,"Monodomous (1)",NA,"Litter (6)","Diurnal (1)","Generalist (2)","These ants from samples collected in Klimes_etal_noyear but were analysed separately at a later date to be included in a different publication","1","Native*","Brazil","South America","bgrossman","2017-02-23",141.829787234043,"Traits_3_February_2017"
"Hypoponera.8","Hypoponera","Public","Baccaro_noyear_traits_143","Hypoponera","True","Baccaro, Fabricio",-0.22667544037037,23.7029769633333,"Worker",1.31914893617021,0.594468085106383,0.682920454545455,0.131868421052632,0.406820512820513,0.586214285714286,0.546285714333333,0.975541587311111,0.417310776921053,0.564632832105263,0.0338461538461538,3.431,1,32.8461538461538,0.105263157894737,17.7692307692308,17.1538461538462,17.8461538461538,"Monomorphic (1)","Monogyny (1)",NA,"Monodomous (1)",NA,"Litter (6)","Diurnal (1)","Generalist (2)","These ants from samples collected in Klimes_etal_noyear but were analysed separately at a later date to be included in a different publication","1","Native*","Brazil","South America","bgrossman","2017-02-23",141.829787234043,"Traits_3_February_2017"
"Hypoponera.9","Hypoponera","Public","Baccaro_noyear_traits_143","Hypoponera","True","Baccaro, Fabricio",-0.22667544037037,23.7029769633333,"Worker",1.31914893617021,0.594468085106383,0.682920454545455,0.131868421052632,0.406820512820513,0.586214285714286,0.546285714333333,0.975541587311111,0.417310776921053,0.564632832105263,0.0338461538461538,3.431,1,32.8461538461538,0.105263157894737,17.7692307692308,17.1538461538462,17.8461538461538,"Monomorphic (1)","Monogyny (1)",NA,"Monodomous (1)",NA,"Litter (6)","Diurnal (1)","Generalist (2)","These ants from samples collected in Klimes_etal_noyear but were analysed separately at a later date to be included in a different publication","1","Native*","Brazil","South America","bgrossman","2017-02-23",141.829787234043,"Traits_3_February_2017"
"Hypoponera.10","Hypoponera","Public","Baccaro_noyear_traits_143","Hypoponera","True","Baccaro, Fabricio",-0.22667544037037,23.7029769633333,"Worker",1.31914893617021,0.594468085106383,0.682920454545455,0.131868421052632,0.406820512820513,0.586214285714286,0.546285714333333,0.975541587311111,0.417310776921053,0.564632832105263,0.0338461538461538,3.431,1,32.8461538461538,0.105263157894737,17.7692307692308,17.1538461538462,17.8461538461538,"Monomorphic (1)","Monogyny (1)",NA,"Monodomous (1)",NA,"Litter (6)","Diurnal (1)","Generalist (2)","These ants from samples collected in Klimes_etal_noyear but were analysed separately at a later date to be included in a different publication","1","Native*","Brazil","South America","bgrossman","2017-02-23",141.829787234043,"Traits_3_February_2017"
"Hypoponera.11","Hypoponera","Public","Baccaro_noyear_traits_143","Hypoponera","True","Baccaro, Fabricio",-0.22667544037037,23.7029769633333,"Worker",1.31914893617021,0.594468085106383,0.682920454545455,0.131868421052632,0.406820512820513,0.586214285714286,0.546285714333333,0.975541587311111,0.417310776921053,0.564632832105263,0.0338461538461538,3.431,1,32.8461538461538,0.105263157894737,17.7692307692308,17.1538461538462,17.8461538461538,"Monomorphic (1)","Monogyny (1)",NA,"Monodomous (1)",NA,"Litter (6)","Diurnal (1)","Generalist (2)","These ants from samples collected in Klimes_etal_noyear but were analysed separately at a later date to be included in a different publication","1","Native*","Brazil","South America","bgrossman","2017-02-23",141.829787234043,"Traits_3_February_2017"
"Hypoponera.12","Hypoponera","Public","Baccaro_noyear_traits_143","Hypoponera","True","Baccaro, Fabricio",-0.22667544037037,23.7029769633333,"Worker",1.31914893617021,0.594468085106383,0.682920454545455,0.131868421052632,0.406820512820513,0.586214285714286,0.546285714333333,0.975541587311111,0.417310776921053,0.564632832105263,0.0338461538461538,3.431,1,32.8461538461538,0.105263157894737,17.7692307692308,17.1538461538462,17.8461538461538,"Monomorphic (1)","Monogyny (1)",NA,"Monodomous (1)",NA,"Litter (6)","Diurnal (1)","Generalist (2)","These ants from samples collected in Klimes_etal_noyear but were analysed separately at a later date to be included in a different publication","1","Native*","Brazil","South America","bgrossman","2017-02-23",141.829787234043,"Traits_3_February_2017"
"Hypoponera.13","Hypoponera","Public","Baccaro_noyear_traits_143","Hypoponera","True","Baccaro, Fabricio",-0.22667544037037,23.7029769633333,"Worker",1.31914893617021,0.594468085106383,0.682920454545455,0.131868421052632,0.406820512820513,0.586214285714286,0.546285714333333,0.975541587311111,0.417310776921053,0.564632832105263,0.0338461538461538,3.431,1,32.8461538461538,0.105263157894737,17.7692307692308,17.1538461538462,17.8461538461538,"Monomorphic (1)","Monogyny (1)",NA,"Monodomous (1)",NA,"Litter (6)","Diurnal (1)","Generalist (2)","These ants from samples collected in Klimes_etal_noyear but were analysed separately at a later date to be included in a different publication","1","Native*","Brazil","South America","bgrossman","2017-02-23",141.829787234043,"Traits_3_February_2017"
"Labidus","Labidus","Public","Vasconcelos&Pacheco_noyear_01_traits_41","Labidus","False","Heraldo L. Vasconcelos & Renata Pacheco",-15.95797267,-47.92049733,"Worker",7.5,1.15,1.25,0.365,0.91,1.71,0.92,1.845,0.73,0.98,0.06,NA,NA,23.5,0,23,23,22.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,"coecus","Native*","Brazil","South America","lgjohanson","2018-04-24",168,"Vasconcelos&Pacheco Traits"
"Lachnomyrmex","Lachnomyrmex","Public","Baccaro_noyear_traits_122","Lachnomyrmex","False","Baccaro, Fabricio",NA,NA,"Worker",1,0.63,0.64,0.18,0.35,0.48,0.34,0.74,0.45,0.53,0.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"plaumanni","Native*",NA,NA,"bgrossman","2017-02-23",141,"Traits_4_February_2017"
"Leptogenys","Leptogenys","Public","Andersen&Hoffmann_2011_traits_38","Leptogenys","False","Staab, Michael",11.4672318181818,120.781021515152,"Worker",1.30769230769231,1.17003225806452,1.47920740740741,0.364884615384615,0.765259259259259,1.69264516129032,1.45391111111111,2.54964871794872,0.865384615384615,0.763461538461539,0.261722222222222,NA,1,68.3076923076923,0,9.84615384615385,7.84615384615385,13.1538461538462,"Monomorphic (1)",NA,NA,NA,NA,NA,NA,NA,"traits are not analyzed in the paper, head width is meassured ABOVE the eyes","kitteli","Native*","China","Asia","bgrossman","2017-02-22",146.051282051282,"Traits_1_February 2017"
"Leptogenys.1","Leptogenys","Public","Andersen&Hoffmann_2011_traits_38","Leptogenys","False","Staab, Michael",11.4672318181818,120.781021515152,"Worker",1.30769230769231,1.17003225806452,1.47920740740741,0.364884615384615,0.765259259259259,1.69264516129032,1.45391111111111,2.54964871794872,0.865384615384615,0.763461538461539,0.261722222222222,NA,1,68.3076923076923,0,9.84615384615385,7.84615384615385,13.1538461538462,"Monomorphic (1)",NA,NA,NA,NA,NA,NA,NA,"traits are not analyzed in the paper, head width is meassured ABOVE the eyes","kitteli","Native*","China","Asia","bgrossman","2017-02-22",146.051282051282,"Traits_1_February 2017"
"Linepithema","Linepithema","Public","Baccaro_noyear_traits_141","Linepithema","False","Heraldo L. Vasconcelos & Renata Pacheco",-12.605411335,-46.35237033,"Worker",3.4,0.566,0.592,0.144,0.286,0.636,0.564,0.788,0.358,0.31,0.106,NA,NA,2.75,0,21,21,21.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,"cerradense","Native*","Brazil","South America","lgjohanson","2018-04-24",162.6,"Vasconcelos&Pacheco Traits"
"Linepithema.1","Linepithema","Public","Baccaro_noyear_traits_141","Linepithema","False","Heraldo L. Vasconcelos & Renata Pacheco",-12.605411335,-46.35237033,"Worker",3.4,0.566,0.592,0.144,0.286,0.636,0.564,0.788,0.358,0.31,0.106,NA,NA,2.75,0,21,21,21.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,"cerradense","Native*","Brazil","South America","lgjohanson","2018-04-24",162.6,"Vasconcelos&Pacheco Traits"
"Megalomyrmex","Megalomyrmex","Public","Baccaro_noyear_traits_109","Megalomyrmex","False","Baccaro, Fabricio",-9.450686335,-53.936798665,"Worker",1,0.564285714285714,0.681428571428571,0.2425,0.385,0.69,0.685,0.965714285714286,0.401666666666667,0.405,0.136666666666667,NA,1,14,0,18.6666666666667,18.3333333333333,18.6666666666667,"Monomorphic (1)","Monogyny (1)",NA,"Monodomous (1)",NA,"Litter (6)","Diurnal (1)","Generalist (2)","101294","silvestrii","Native*","Brazil","South America","bgrossman","2017-02-23",144.714285714286,"Traits_4_February_2017"
"Megalomyrmex.1","Megalomyrmex","Public","Baccaro_noyear_traits_109","Megalomyrmex","False","Baccaro, Fabricio",-9.450686335,-53.936798665,"Worker",1,0.564285714285714,0.681428571428571,0.2425,0.385,0.69,0.685,0.965714285714286,0.401666666666667,0.405,0.136666666666667,NA,1,14,0,18.6666666666667,18.3333333333333,18.6666666666667,"Monomorphic (1)","Monogyny (1)",NA,"Monodomous (1)",NA,"Litter (6)","Diurnal (1)","Generalist (2)","101294","silvestrii","Native*","Brazil","South America","bgrossman","2017-02-23",144.714285714286,"Traits_4_February_2017"
"Megalomyrmex.2","Megalomyrmex","Public","Baccaro_noyear_traits_109","Megalomyrmex","False","Baccaro, Fabricio",-9.450686335,-53.936798665,"Worker",1,0.564285714285714,0.681428571428571,0.2425,0.385,0.69,0.685,0.965714285714286,0.401666666666667,0.405,0.136666666666667,NA,1,14,0,18.6666666666667,18.3333333333333,18.6666666666667,"Monomorphic (1)","Monogyny (1)",NA,"Monodomous (1)",NA,"Litter (6)","Diurnal (1)","Generalist (2)","101294","silvestrii","Native*","Brazil","South America","bgrossman","2017-02-23",144.714285714286,"Traits_4_February_2017"
"Megalomyrmex.3","Megalomyrmex","Public","Baccaro_noyear_traits_109","Megalomyrmex","False","Baccaro, Fabricio",-9.450686335,-53.936798665,"Worker",1,0.564285714285714,0.681428571428571,0.2425,0.385,0.69,0.685,0.965714285714286,0.401666666666667,0.405,0.136666666666667,NA,1,14,0,18.6666666666667,18.3333333333333,18.6666666666667,"Monomorphic (1)","Monogyny (1)",NA,"Monodomous (1)",NA,"Litter (6)","Diurnal (1)","Generalist (2)","101294","silvestrii","Native*","Brazil","South America","bgrossman","2017-02-23",144.714285714286,"Traits_4_February_2017"
"Megalomyrmex.4","Megalomyrmex","Public","Baccaro_noyear_traits_109","Megalomyrmex","False","Baccaro, Fabricio",-9.450686335,-53.936798665,"Worker",1,0.564285714285714,0.681428571428571,0.2425,0.385,0.69,0.685,0.965714285714286,0.401666666666667,0.405,0.136666666666667,NA,1,14,0,18.6666666666667,18.3333333333333,18.6666666666667,"Monomorphic (1)","Monogyny (1)",NA,"Monodomous (1)",NA,"Litter (6)","Diurnal (1)","Generalist (2)","101294","silvestrii","Native*","Brazil","South America","bgrossman","2017-02-23",144.714285714286,"Traits_4_February_2017"
"Megalomyrmex.5","Megalomyrmex","Public","Baccaro_noyear_traits_109","Megalomyrmex","False","Baccaro, Fabricio",-9.450686335,-53.936798665,"Worker",1,0.564285714285714,0.681428571428571,0.2425,0.385,0.69,0.685,0.965714285714286,0.401666666666667,0.405,0.136666666666667,NA,1,14,0,18.6666666666667,18.3333333333333,18.6666666666667,"Monomorphic (1)","Monogyny (1)",NA,"Monodomous (1)",NA,"Litter (6)","Diurnal (1)","Generalist (2)","101294","silvestrii","Native*","Brazil","South America","bgrossman","2017-02-23",144.714285714286,"Traits_4_February_2017"
"Mycocepurus","Mycocepurus","Public","Vasconcelos&Pacheco_noyear_01_traits_131","Mycocepurus","False","Heraldo L. Vasconcelos & Renata Pacheco",-12.605411335,-46.35237033,"Worker",6,0.6,0.6,0.15,0.39,0.54,0.46,0.76,0.35,0.48,0.1,NA,NA,0,16,21,18,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,"smithii","Native*","Brazil","South America","lgjohanson","2018-04-24",168,"Vasconcelos&Pacheco Traits"
"Mycocepurus.1","Mycocepurus","Public","Vasconcelos&Pacheco_noyear_01_traits_131","Mycocepurus","False","Heraldo L. Vasconcelos & Renata Pacheco",-12.605411335,-46.35237033,"Worker",6,0.6,0.6,0.15,0.39,0.54,0.46,0.76,0.35,0.48,0.1,NA,NA,0,16,21,18,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,"smithii","Native*","Brazil","South America","lgjohanson","2018-04-24",168,"Vasconcelos&Pacheco Traits"
"Monomorium","Monomorium","Public","Andersen_etal_2007_traits_0","Monomorium","True","Gibb, Heloise",-15.7617889589189,136.479403624324,"Worker",1.0379746835443,0.444285824385246,0.524488190197368,0.102886516543624,0.2269257265,0.400728286798701,0.41635542748,0.637216529,0.288965321672131,0.486090553703947,0.062345215,NA,1.30978260869565,3.8021978021978,0,18.7032967032967,18.2747252747253,19.8131868131868,"Monomorphic (1)","Monogyny (1)",NA,"Monodomous (1)",NA,"Aboreal (5)","Diurnal (1)","Generalist (2)","These ants from samples collected in Klimes_etal_noyear but were analysed separately at a later date to be included in a different publication","floricola","Native*",NA,NA,"bgrossman","2017-02-22",136.96835443038,"Traits_1_February 2017"
"NA.7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Myrmicocrypta","Myrmicocrypta","Public","Baccaro_noyear_traits_154","Myrmicocrypta","True","Baccaro, Fabricio",-2.9434,-59.9531,"Worker",1,0.675,0.785,0.22,0.52,0.93,0.753333333333333,1.0175,0.413333333333333,0.67,0.0733333333333333,NA,2,1,2,10,10,10,"Monomorphic (1)","Monogyny (1)",NA,"Monodomous (1)",NA,"Litter (6)","Diurnal (1)","Fungivore (7)","10115","mek1","Native*",NA,NA,"bgrossman","2017-02-23",140.5,"Traits_3_February_2017"
"Neivamyrmex","Neivamyrmex","Public","Vasconcelos&Pacheco_noyear_01_traits_47","Neivamyrmex","True","Heraldo L. Vasconcelos & Renata Pacheco",-15.95797267,-47.92049733,"Worker",6,0.49,0.59,0.14,0.3,0.54,0.34,0.76,0.34,0.391534392,0.015873016,NA,NA,26,0,18,18,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,"sp.06","Native*","Brazil","South America","lgjohanson","2018-04-24",168,"Vasconcelos&Pacheco Traits"
"Nesomyrmex","Nesomyrmex","Public","Vasconcelos&Pacheco_noyear_01_traits_49","Nesomyrmex","True","Heraldo L. Vasconcelos & Renata Pacheco",-15.95797267,-47.92049733,"Worker",2,0.8,0.78,0.23,0.34,0.59,0.6,0.94,0.6,0.65,0.12,NA,NA,15,2,19,19,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,"sp. 06","Native*","Brazil","South America","lgjohanson","2018-04-24",168,"Vasconcelos&Pacheco Traits"
"Nylanderia","Nylanderia","Public","Andersen&Hoffmann_2011_traits_352","Nylanderia","True","Staab, Michael",11.782110118,117.7885679568,"Worker",1.22641509433962,0.548896520190476,0.569093406666667,0.1823076923125,0.309572349297297,0.953262550684211,0.918835531230769,0.906349298566038,0.4363598901875,0.465424679625,0.146887574025641,NA,1.5,5.5,0,15.1666666666667,15.1666666666667,17.6666666666667,"Monomorphic (1)","Monogyny (1)",NA,"Monodomous (1)",NA,"Litter (6)","Diurnal (1)","Generalist (2)","traits are not analyzed in the paper, head width is meassured ABOVE the eyes","emmae","Native*","China","Asia","bgrossman","2017-09-05",150.396226415094,"Staab_China_pitfalls"
